College,Year,Credit Enrollment Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Success Count
Copper Mountain,2021-2022,6439.0,4715.0,6339.0,4656.0,5918.0,4338.0
Copper Mountain,2022-2023,6528.0,4863.0,6388.0,4746.0,6113.0,4539.0
Copper Mountain,2023-2024,7190.0,5397.0,7054.0,5292.0,6728.0,5049.0
Cosumnes River,2014-2015,72927.0,46587.0,68023.0,43455.0,58210.0,37520.0
Cosumnes River,2015-2016,71976.0,47101.0,67069.0,44063.0,57132.0,37853.0
Cosumnes River,2016-2017,70077.0,47071.0,65306.0,44026.0,55343.0,37859.0
Cosumnes River,2017-2018,69825.0,47741.0,65159.0,44817.0,55532.0,38987.0
Cosumnes River,2018-2019,70691.0,48996.0,66354.0,46264.0,57556.0,40944.0
Cosumnes River,2019-2020,67416.0,49888.0,64080.0,47667.0,57131.0,42801.0
Cosumnes River,2020-2021,64746.0,44773.0,62894.0,43525.0,55989.0,38967.0
Cosumnes River,2021-2022,58782.0,40072.0,57155.0,38991.0,51584.0,35307.0
Cosumnes River,2022-2023,61092.0,43338.0,59410.0,42268.0,54656.0,38726.0
Cosumnes River,2023-2024,69281.0,49379.0,67467.0,48178.0,62104.0,44185.0
Crafton Hills,2014-2015,32785.0,24010.0,30276.0,22256.0,24752.0,18009.0
Crafton Hills,2015-2016,32456.0,23459.0,29788.0,21584.0,25077.0,18210.0
Crafton Hills,2016-2017,31619.0,22747.0,28869.0,20868.0,24197.0,17423.0
Crafton Hills,2017-2018,32090.0,22938.0,29771.0,21453.0,25292.0,18246.0
Crafton Hills,2018-2019,33144.0,24359.0,31184.0,23113.0,26599.0,19633.0
Crafton Hills,2019-2020,31517.0,24068.0,30286.0,23194.0,27359.0,20778.0
Crafton Hills,2020-2021,30354.0,22197.0,29589.0,21643.0,26479.0,19149.0
Crafton Hills,2021-2022,25436.0,18327.0,24762.0,17814.0,22773.0,16399.0
Crafton Hills,2022-2023,25712.0,19055.0,24861.0,18439.0,22659.0,16657.0
Crafton Hills,2023-2024,29564.0,22263.0,28816.0,21689.0,26454.0,19724.0
Cuesta,2014-2015,51817.0,37704.0,49662.0,36428.0,43561.0,32035.0
Cuesta,2015-2016,52651.0,39072.0,50825.0,37959.0,43048.0,31946.0
Cuesta,2016-2017,51407.0,38105.0,49665.0,36911.0,41734.0,30886.0
Cuesta,2017-2018,51222.0,38564.0,49736.0,37555.0,42477.0,31949.0
Cuesta,2018-2019,51514.0,38633.0,50532.0,37929.0,44108.0,32995.0
Cuesta,2019-2020,47178.0,38399.0,47032.0,38305.0,42292.0,34490.0
Cuesta,2020-2021,47606.0,34947.0,47521.0,34902.0,44168.0,32377.0
Cuesta,2021-2022,44766.0,32987.0,44655.0,32903.0,41329.0,30360.0
Cuesta,2022-2023,45833.0,34305.0,45749.0,34226.0,42457.0,31453.0
Cuesta,2023-2024,47726.0,36062.0,47620.0,35957.0,44174.0,32842.0
Cuyamaca,2014-2015,39687.0,28907.0,34693.0,25234.0,32822.0,23892.0
Cuyamaca,2015-2016,40986.0,30565.0,36017.0,26725.0,34307.0,25518.0
Cuyamaca,2016-2017,42913.0,32049.0,37623.0,28015.0,36045.0,26906.0
Cuyamaca,2017-2018,42306.0,32268.0,36833.0,28193.0,35597.0,27313.0
Cuyamaca,2018-2019,40698.0,30901.0,36492.0,27720.0,35414.0,26858.0
Cuyamaca,2019-2020,37335.0,30171.0,34473.0,27928.0,33542.0,27123.0
Cuyamaca,2020-2021,35798.0,27359.0,33520.0,25759.0,32976.0,25293.0
Cuyamaca,2021-2022,33165.0,24672.0,31354.0,23486.0,30760.0,23014.0
Cuyamaca,2022-2023,35250.0,25868.0,33266.0,24512.0,32747.0,24076.0
Cuyamaca,2023-2024,38559.0,29596.0,36199.0,27864.0,35233.0,26990.0
Cypress,2014-2015,85056.0,60070.0,78579.0,55826.0,73479.0,52523.0
Cypress,2015-2016,85475.0,60645.0,78629.0,56391.0,74029.0,53346.0
Cypress,2016-2017,83603.0,59635.0,76845.0,55358.0,72737.0,52802.0
Cypress,2017-2018,82089.0,59215.0,75877.0,55402.0,72088.0,52876.0
