College,Year,Credit Enrollment Count,Credit Retention Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Retention Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Retention Count,Transferable Success Count
Oxnard,2023-2024,33274,29067,24276,32289,28221,23661,27518,23878,19847
Palo Verde,2020-2021,14703,14006,11473,14643,13955,11437,13204,12525,10066
Palo Verde,2021-2022,17283,16339,14113,17256,16317,14098,16931,16007,13814
Palo Verde,2022-2023,16774,15733,13347,16732,15692,13312,16162,15129,12835
Palo Verde,2023-2024,17692,16600,13929,17610,16519,13849,17191,16110,13490
Palomar,2020-2021,104792,103209,84871,102782,101242,83447,93653,92194,75388
Palomar,2021-2022,103273,94475,74854,101411,92868,73782,93732,85616,67503
Palomar,2022-2023,104196,95643,76456,102215,93954,75367,96545,88356,70098
Palomar,2023-2024,108667,101009,80565,106656,99300,79505,101274,93997,74519
Pasadena,2020-2021,151070,125480,106105,149596,124342,105306,135056,112005,94291
Pasadena,2021-2022,126124,107115,91524,125082,106317,90950,112638,95430,81139
Pasadena,2022-2023,136284,116467,98605,135484,115887,98204,122407,104554,88053
Pasadena,2023-2024,146786,125043,106522,144994,123589,105358,132758,112999,95893
Porterville,2020-2021,21694,19487,15856,21075,18976,15549,20019,17999,14683
Porterville,2021-2022,20424,18067,14781,19873,17609,14501,18962,16775,13748
Porterville,2022-2023,23908,21468,17736,23319,20992,17422,22331,20106,16650
Porterville,2023-2024,26429,23272,19023,25922,22846,18747,25058,22117,18101
Redwoods,2020-2021,20793,18145,15099,20749,18107,15065,19951,17398,14441
Redwoods,2021-2022,19795,17811,14994,19743,17763,14954,19093,17164,14419
Redwoods,2022-2023,22392,20357,17086,22324,20294,17037,21299,19328,16202
Redwoods,2023-2024,24419,22324,18671,24345,22254,18611,23323,21291,17767
Reedley College,2020-2021,36124,33614,27874,35287,32872,27422,34426,32036,26655
Reedley College,2021-2022,33931,31618,25674,33272,31028,25284,32524,30315,24625
Reedley College,2022-2023,39000,36524,29677,38255,35845,29179,37421,35028,28428
Reedley College,2023-2024,44452,42084,34224,43506,41188,33569,42516,40217,32674
Rio Hondo,2020-2021,84453,76009,63366,82045,73968,61865,71325,63611,51871
Rio Hondo,2021-2022,82435,68395,55435,80279,66767,54324,69339,56330,44196
Rio Hondo,2022-2023,88603,74564,60570,86757,73134,59566,71943,58513,45130
Rio Hondo,2023-2024,96618,79357,63162,93437,76629,60853,79081,62493,46889
Riverside,2020-2021,105935,91341,70660,101884,87987,68107,97472,84116,64868
Riverside,2021-2022,94304,81028,62147,91554,78730,60370,86911,74567,56908
Riverside,2022-2023,101797,88887,68206,98705,86283,66194,94635,82442,62797
Riverside,2023-2024,111040,97471,75621,107377,94301,73298,102668,89792,69235
Sacramento City,2020-2021,100394,83022,69818,98169,81208,68269,88223,73047,61642
Sacramento City,2021-2022,91340,75495,63273,89792,74229,62187,81181,67133,56324
Sacramento City,2022-2023,93614,79079,66165,92161,77884,65171,85081,71752,59893
Sacramento City,2023-2024,100505,85338,71687,98910,83971,70538,90633,76865,64519
Saddleback,2020-2021,112472,102500,88575,110633,100895,87289,103135,94135,81345
Saddleback,2021-2022,103865,93353,78860,102381,92130,77958,95822,86297,73042
Saddleback,2022-2023,106856,95749,80400,105702,94811,79758,100155,89884,75648
